id,id_externo,casa_origem,tipo,numero,ano,ementa,resumo_cidadao,descricao_detalhada,tema,url_inteiro_teor,situacao,relevancia_score,votos_sim,votos_nao,votos_abstencao,votos_obstrucao
1488,camara_prop_2481715,CAMARA,,0,2026,"Institui o marco legal do transporte público coletivo urbano e altera a Lei nº 10.257, de 10 de julho de 2001 (Estatuto da Cidade), a Lei nº 10.336, de 19 de dezembro de 2001, a Lei nº 10.636, de 30 de dezembro de 2002, e a Lei nº 12.587, de 3 de janeiro de 2012 (Lei de Mobilidade Urbana).",,,,,,0.542,304,113,0,0
1486,camara_prop_2432865,CAMARA,,0,2026,"Altera o artigo 55 da Lei nº 8.906, de 4 de julho de 1994 - que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil - OAB, para fins de alterar a nomenclatura da Secretaria-Geral Adjunta, bem como a composição da Diretoria do Conselho Federal da OAB, e acrescenta o parágrafo único ao artigo 57.",,,,,,0.765,151,244,3,0
1485,camara_prop_2557414,CAMARA,,0,2026,"Altera a Lei nº 14.237, de 19 de novembro de 2021, para modificar a denominação do Auxílio Gás dos Brasileiros para Auxílio Gás do Povo e criar nova modalidade de operacionalização do auxílio.",,,,,,0.115,838,425,2,0
1490,camara_prop_2598651,CAMARA,,0,2026,Dispõe sobre a regulamentação da profissão de Trabalhador em Refeições Coletivas e dá outras providências,,,,,,0.538,307,113,3,0
1491,camara_prop_2562173,CAMARA,,0,2026,"Altera a Lei nº 13.709, de 14 de agosto de 2018, para tratar da Agência Nacional de Proteção de Dados, a Lei nº 10.871, de 20 de maio de 2004, para criar a Carreira de Regulação e Fiscalização de Proteção de Dados, transforma cargos no âmbito do Poder Executivo federal, e dá outras providências.",,,,,,0.597,397,423,0,0
1492,camara_prop_2591974,CAMARA,,0,2026,Cria a Universidade Federal do Esporte.,,,,,,0.548,420,345,2,0
1493,camara_prop_2591970,CAMARA,,0,2026,Cria a Universidade Federal Indígena.,,,,,,0.601,277,119,1,0
175,camara_prop_PDL_50_2026,CAMARA,PDL,50,2026,"Aprova o texto do Acordo sobre a 15ª Reunião da Conferência das Partes da Convenção sobre a Conservação das Espécies Migratórias de Animais Silvestres, assinado em Nairóbi, Quênia, em 21 de dezembro de 2025.",Aprova acordo internacional para proteção de animais silvestres migratórios.,"O Brasil se compromete a seguir novas regras internacionais para proteger animais que migram entre países, como aves, tartarugas e mamíferos marinhos. Afeta órgãos ambientais, pesquisadores e empresas que podem impactar esses animais. Na prática, pode resultar em fiscalização mais rigorosa e novas obrigações de conservação.",meio-ambiente,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3088191,Transformado em Norma Jurídica,0.62,303,136,1,0
1487,camara_prop_2600127,CAMARA,PL,68,2026,"Declara de interesse público os medicamentos Mounjaro e Zepbound, para fins do disposto no art. 71 da Lei n° 9.279, de 14 de maio de 1996, alterado pela Lei nº 14.200, de 2 de setembro de 2021.",Declara medicamentos Mounjaro e Zepbound de interesse público para quebra de patente.,"O projeto permite ao governo quebrar a patente dos medicamentos Mounjaro e Zepbound, usados para diabetes e obesidade. Afeta pessoas que precisam desses remédios caros - elas poderiam ter acesso a versões genéricas mais baratas. A medida também impacta a empresa fabricante, que perderia exclusividade sobre a venda.",saude,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3076002,Pronta para Pauta,0.107,337,19,0,0
1494,camara_prop_2600838,CAMARA,PL,278,2026,"Altera a Lei nº 11.196, de 21 de novembro de 2005, para instituir o Regime Especial de Tributação para Serviços de Datacenter – REDATA, e a Lei nº 15.211, de 17 de setembro de 2025.",Cria benefícios fiscais especiais para empresas de datacenter no Brasil.,"Empresas que operam datacenters no Brasil poderão aderir ao REDATA, um regime tributário especial com redução de impostos federais. Afeta companhias de armazenamento e processamento de dados, que pagarão menos tributos sobre suas operações. O projeto mantém incentivos fiscais já existentes e garante maior previsibilidade para investimentos no setor.",tributacao,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3078531,Aguardando Apreciação pelo Senado Federal,0.623,105,232,0,0
